Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,152919,109932,12181,30806,25391,4884767,291,0
XML,31092,24766,2268,4058,0,1533175,129,0
C Header,13505,6869,4145,2491,186,479766,170,0
Autoconf,2257,1462,469,326,88,88801,74,0
Perl,1800,1675,34,91,85,75394,2,0
Shell,1577,1197,171,209,152,55895,9,0
Systemd,1063,945,0,118,0,33188,81,0
Zsh,1029,961,17,51,63,42102,1,0
BASH,864,610,164,90,188,26409,1,0
Snakemake,817,426,175,216,0,44376,22,0
Python,656,516,101,39,34,22854,5,0
m4,654,579,33,42,0,41279,5,0
Plain Text,331,292,0,39,0,9532,3,0
JavaScript,185,148,6,31,16,7059,3,0
Makefile,58,31,20,7,4,1669,3,0
Extensible Stylesheet Language Transformations,50,39,0,11,0,1607,1,0
AWK,13,11,0,2,0,192,1,0
Vim Script,8,6,2,0,0,228,2,0
Emacs Lisp,7,3,3,1,0,210,1,0
