Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,157785,108861,29047,19877,24703,5133720,206,0
XML,52198,41353,3023,7822,0,2144624,183,0
C Header,17348,6434,8638,2276,71,617609,98,0
Shell,9652,7562,1233,857,1023,280909,20,0
Extensible Stylesheet Language Transformations,7262,6164,0,1098,0,263864,32,0
Autoconf,5554,3140,1643,771,434,179442,57,0
HTML,4919,4671,12,236,0,162549,171,0
Plain Text,3159,2433,0,726,0,132219,9,0
Forth,2289,1886,0,403,5,124768,12,0
CSS,1945,1311,332,302,0,36156,6,0
Perl,1924,1202,487,235,162,54145,12,0
m4,1387,1180,40,167,0,44095,34,0
License,980,811,0,169,0,46771,4,0
Prolog,922,922,0,0,0,11985,17,0
AWK,698,512,111,75,61,20048,7,0
Document Type Definition,343,236,0,107,0,9767,5,0
LEX,224,140,60,24,0,4704,1,0
Makefile,168,39,107,22,3,6041,6,0
Happy,147,125,0,22,0,4946,1,0
Module-Definition,125,97,3,25,0,2200,38,0
Windows Resource-Definition Script,96,74,14,8,0,4063,1,0
TeX,65,26,31,8,0,1800,1,0
Batch,47,38,0,9,3,1715,1,0
SystemVerilog,43,43,0,0,0,1631,1,0
Emacs Lisp,37,27,0,10,0,1618,1,0
Expect,34,34,0,0,0,515,34,0
Properties File,7,2,3,2,0,168,1,0
