Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,187334,133476,32047,21811,27268,6066955,223,0
XML,57036,44864,3471,8701,0,2321620,196,0
C Header,18567,6929,9221,2417,80,669965,104,0
Extensible Stylesheet Language Transformations,7419,6301,0,1118,0,269489,33,0
Autoconf,6047,3533,1662,852,476,194990,72,0
Forth,2255,1862,0,393,5,124486,11,0
CSS,1963,1321,338,304,0,36695,6,0
HTML,1650,1365,12,273,0,41754,179,0
Shell,1564,993,378,193,215,43448,17,0
m4,1443,1227,43,173,0,45747,36,0
Perl,1145,815,162,168,112,27636,8,0
License,965,808,0,157,0,47140,4,0
Prolog,922,922,0,0,0,11985,17,0
AWK,713,520,118,75,62,20694,7,0
Document Type Definition,360,249,0,111,0,10441,5,0
LEX,225,140,61,24,0,4740,1,0
Module-Definition,171,142,3,26,0,2874,40,0
Makefile,170,36,110,24,1,6011,6,0
Happy,148,126,0,22,0,5003,1,0
Windows Resource-Definition Script,137,112,15,10,0,5614,1,0
TeX,80,26,45,9,0,2455,1,0
Batch,72,50,3,19,4,2581,2,0
Plain Text,56,47,0,9,0,1529,2,0
Expect,34,34,0,0,0,515,34,0
Properties File,7,2,3,2,0,168,1,0
