Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,22495883,16695353,2562126,3238404,2252025,614050027,32031,0
JSON,9328233,9328231,0,2,0,2153756621,605,0
C Header,8966216,6919120,1347380,699716,48668,559570399,23464,0
Device Tree,1266728,1036806,68615,161307,23,29725139,4505,0
ReStructuredText,651992,494275,0,157717,0,24261843,3241,0
Assembly,375124,281028,52597,41499,3472,9556011,1321,0
YAML,315739,247816,13663,54260,0,8148361,2980,0
Plain Text,168824,138422,0,30402,0,5568965,2085,0
Shell,145124,102437,18439,24248,7819,3735794,787,0
Makefile,72438,49591,11954,10893,422,2392920,2787,0
SVG,49438,48177,1171,90,0,2576739,74,0
Perl,48831,40110,3744,4977,2972,1267623,64,0
Python,44831,34513,4797,5521,6455,1470026,154,0
Rust,10359,4880,4674,805,487,347367,29,0
Happy,6017,5320,0,697,0,126553,9,0
LEX,2765,2110,309,346,0,63559,9,0
C++,2401,2071,72,258,323,56065,8,0
AWK,2319,1804,234,281,547,55968,15,0
BASH,2271,1575,344,352,228,53407,57,0
Unreal Script,716,446,162,108,24,17732,5,0
Bazel,695,397,143,155,6,22021,2,0
DOT,669,588,23,58,0,34583,18,0
CSV,650,577,0,73,0,34509,9,0
License,406,327,0,79,0,20623,4,0
LD Script,384,298,30,56,0,6900,9,0
Autoconf,345,301,21,23,5,17284,5,0
Extensible Stylesheet Language Transformations,300,261,0,39,0,10476,15,0
Gherkin Specification,287,195,58,34,0,9500,1,0
TeX,236,156,74,6,0,9654,1,0
CSS,162,90,37,35,0,3545,2,0
C++ Header,125,59,55,11,2,3859,2,0
Module-Definition,124,109,0,15,4,4852,2,0
Systemd,92,78,0,14,0,2949,2,0
MATLAB,89,35,37,17,3,2482,1,0
HEX,86,86,0,0,0,4119,1,0
Snakemake,77,51,13,13,0,2761,3,0
Vim Script,42,27,12,3,5,1355,1,0
Markdown,33,25,0,8,0,1472,1,0
Ruby,29,25,0,4,1,816,1,0
TOML,12,2,9,1,0,369,1,0
sed,12,5,5,2,0,379,1,0
INI,7,3,3,1,0,288,1,0
