Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,11164523,8039165,1580584,1544774,1189192,303448245,16596,0
JSON,8919011,8919011,0,0,0,2137976879,1,0
C Header,2502801,1648791,540927,313083,28840,83613175,13893,0
Assembly,346211,260195,50429,35587,3402,8781332,1259,0
Plain Text,240069,184397,0,55672,0,9122200,1075,0
Intel HEX,113559,113546,0,13,0,4988547,115,0
Device Tree,60221,49843,4017,6361,0,1417738,183,0
XML,43985,40377,764,2844,0,1547884,142,0
Makefile,37386,24019,7022,6345,269,1172604,1528,0
Go Template,23209,20940,0,2269,0,798095,31,0
Perl,20991,16688,2015,2288,1690,546148,41,0
HEX,17207,17135,0,72,0,842018,26,0
Shell,6132,3958,1537,637,421,165714,68,0
Happy,3757,3302,0,455,0,78740,5,0
Python,3755,2917,314,524,430,116454,22,0
C++,1789,1598,42,149,270,44390,1,0
LEX,1769,1329,242,198,0,39370,5,0
License,1421,1176,0,245,0,75214,6,0
SVG,1047,1045,2,0,0,39649,2,0
TeX,1022,911,3,108,96,51371,1,0
Unreal Script,927,517,240,170,8,20835,4,0
AWK,883,708,85,90,221,21292,8,0
BASH,589,442,89,58,46,13706,34,0
LD Script,511,422,50,39,0,11499,16,0
Bazel,465,281,91,93,8,14874,1,0
HTML,436,378,0,58,0,16246,2,0
Scala,281,218,0,63,20,12158,1,0
Objective C++,244,189,0,55,8,10878,1,0
Autoconf,198,162,9,27,5,4245,6,0
ASP,170,137,0,33,9,4528,1,0
DOT,133,99,7,27,0,4873,4,0
C++ Header,125,59,55,11,2,3859,2,0
Extensible Stylesheet Language Transformations,110,97,0,13,0,3937,6,0
Vim Script,42,27,12,3,5,1355,1,0
sed,33,30,3,0,30,2073,1,0
Snakemake,27,16,6,5,0,1164,1,0
Module-Definition,7,7,0,0,1,128,1,0
