Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,12528236,9049950,1736594,1741692,1317378,341002647,18596,0
JSON,8919011,8919011,0,0,0,2137976879,1,0
C Header,2887282,1921141,617229,348912,31882,96464999,15422,0
Assembly,380393,284902,56323,39168,3589,9681525,1378,0
Plain Text,288049,223566,0,64483,0,10777694,1714,0
Device Tree,133145,105585,12484,15076,0,3166368,697,0
Intel HEX,106650,106639,0,11,0,4685001,109,0
XML,50142,46631,313,3198,0,1798979,156,0
Makefile,42278,27994,7267,7017,316,1325881,1715,0
Go Template,24870,22599,0,2271,0,883789,30,0
Perl,22845,17713,2463,2669,2231,600895,38,0
HEX,16558,16487,0,71,0,823735,25,0
Shell,7806,5116,1848,842,540,204615,82,0
Happy,4460,3902,0,558,0,92226,7,0
Python,4331,3286,424,621,499,135076,25,0
LEX,2086,1575,258,253,0,47702,7,0
C++,1790,1599,42,149,270,44410,1,0
License,1421,1176,0,245,0,75214,6,0
SVG,1389,1387,2,0,0,65830,5,0
LaTeX,1022,911,3,108,0,51371,1,0
AWK,897,714,94,89,221,22133,8,0
BASH,855,649,111,95,81,20244,37,0
LD Script,603,488,59,56,0,13007,17,0
Bazel,479,290,93,96,8,15491,1,0
HTML,436,378,0,58,0,16247,2,0
Scala,281,218,0,63,20,12158,1,0
Unreal Script,244,127,77,40,7,6113,2,0
Objective C++,244,189,0,55,8,10878,1,0
Autoconf,198,162,9,27,5,4245,6,0
ASP,170,137,0,33,9,4528,1,0
DOT,133,99,7,27,0,4873,4,0
C++ Header,125,59,55,11,2,3859,2,0
Extensible Stylesheet Language Transformations,110,97,0,13,0,3937,6,0
Vim Script,42,27,12,3,5,1355,1,0
sed,33,30,3,0,30,2073,1,0
Snakemake,26,14,6,6,0,1094,1,0
Module-Definition,7,7,0,0,1,128,1,0
