Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,18902462,13904270,2274749,2723443,1927813,511266991,27624,0
JSON,9087435,9087434,0,1,0,2145075629,314,0
C Header,5772400,4285366,959566,527468,41668,288108967,19839,0
Device Tree,818336,664978,53187,100171,1,19368744,3085,0
ReStructuredText,412624,313547,0,99077,0,14849807,2114,0
Assembly,375490,280075,53893,41522,3530,9516163,1318,0
Plain Text,350117,282735,0,67382,0,11921298,4027,0
Shell,68431,48000,9322,11109,3663,1711874,483,0
Makefile,61594,41460,10653,9481,378,1986362,2518,0
Perl,37590,29766,3481,4343,3288,999148,56,0
SVG,37366,35885,1404,77,0,1933775,57,0
Python,32597,25215,3521,3861,4922,1063506,110,0
YAML,19353,15435,879,3039,0,508137,188,0
HTML,6173,5508,0,665,0,246889,5,0
Happy,5674,4982,0,692,0,118769,9,0
LEX,2640,2014,300,326,0,60580,8,0
BASH,2371,1724,326,321,258,55176,54,0
C++,2255,1963,67,225,310,53960,8,0
AWK,1707,1378,157,172,435,41955,11,0
License,744,607,0,137,0,38537,5,0
Unreal Script,716,446,162,108,24,17732,5,0
Bazel,703,423,133,147,8,21884,2,0
DOT,513,431,23,59,0,23539,13,0
LD Script,419,322,49,48,0,8168,16,0
Autoconf,347,303,20,24,5,17261,6,0
Gherkin Specification,251,173,50,28,0,8295,1,0
CSV,203,202,0,1,0,11136,6,0
Extensible Stylesheet Language Transformations,200,174,0,26,0,6984,10,0
CSS,127,72,28,27,0,2816,1,0
C++ Header,125,59,55,11,2,3859,2,0
Module-Definition,124,109,0,15,4,4852,2,0
HEX,86,86,0,0,0,4119,1,0
Snakemake,75,49,13,13,0,2665,2,0
Vim Script,42,27,12,3,5,1355,1,0
Ruby,29,25,0,4,1,816,1,0
sed,12,5,5,2,0,379,1,0
INI,7,3,3,1,0,288,1,0
