Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,19318323,14223490,2309632,2785201,1967219,522818456,28266,0
JSON,9091438,9091438,0,0,0,2145256227,317,0
C Header,5863394,4351721,974643,537030,42389,291264897,20239,0
Device Tree,866548,706319,53834,106395,3,20544412,3237,0
ReStructuredText,451323,342713,0,108610,0,16292454,2230,0
Assembly,377766,282327,53824,41615,3544,9580997,1317,0
Plain Text,325309,264364,0,60945,0,11053987,3851,0
Shell,78888,55512,10297,13079,4253,1983354,526,0
Makefile,63361,42814,10849,9698,415,2051296,2553,0
YAML,50125,39346,2339,8440,0,1292567,499,0
Perl,45348,36270,4010,5068,3360,1178445,60,0
SVG,39038,37555,1405,78,0,2067102,59,0
Python,35836,27691,3751,4394,5367,1167470,118,0
Happy,5866,5167,0,699,0,121796,9,0
LEX,2641,2015,300,326,0,60666,8,0
BASH,2391,1741,327,323,263,55729,54,0
C++,2277,1980,68,229,310,54411,8,0
AWK,1709,1380,157,172,435,42048,11,0
License,744,607,0,137,0,38537,5,0
Unreal Script,716,446,162,108,24,17732,5,0
Bazel,699,422,131,146,8,21712,2,0
DOT,513,431,23,59,0,23539,13,0
LD Script,412,317,48,47,0,8042,15,0
Autoconf,347,303,20,24,5,17261,6,0
Extensible Stylesheet Language Transformations,300,261,0,39,0,10476,15,0
Gherkin Specification,252,174,50,28,0,8338,1,0
CSV,203,202,0,1,0,11136,6,0
CSS,137,80,29,28,0,3085,1,0
C++ Header,125,59,55,11,2,3859,2,0
Module-Definition,124,109,0,15,4,4852,2,0
HEX,86,86,0,0,0,4119,1,0
Snakemake,75,49,13,13,0,2665,2,0
Systemd,75,64,0,11,0,2581,1,0
Vim Script,42,27,12,3,5,1355,1,0
Ruby,29,25,0,4,1,816,1,0
sed,12,5,5,2,0,379,1,0
INI,7,3,3,1,0,288,1,0
