Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,17985923,13134856,2272401,2578666,1847678,488202664,26085,0
JSON,9037207,9037207,0,0,0,2142808969,244,0
C Header,5070830,3668641,911546,490643,39424,225787342,19003,0
Device Tree,692192,554571,54053,83568,1,16553262,2769,0
Plain Text,442231,352609,0,89622,0,15650718,4282,0
Assembly,386909,286258,58719,41932,3617,9927983,1326,0
ReStructuredText,205496,156217,0,49279,0,7005579,990,0
Makefile,56431,38080,9562,8789,331,1819650,2400,0
SVG,39452,37989,1371,92,0,1917856,57,0
Shell,37449,26167,5808,5474,2260,914316,317,0
Perl,36837,29182,3461,4194,3164,980361,55,0
Python,24066,18423,3069,2574,3690,788010,109,0
HTML,6167,5497,0,670,0,245793,5,0
Happy,5724,5023,0,701,0,120613,9,0
LEX,2647,2007,319,321,0,60823,8,0
BASH,2368,1699,350,319,254,55731,54,0
C++,2207,1924,62,221,310,53215,7,0
AWK,2104,1705,197,202,539,52131,12,0
Markdown,1297,1077,0,220,0,65731,1,0
License,1083,884,0,199,0,56939,6,0
LaTeX,1026,915,3,108,0,51511,1,0
Bazel,743,443,145,155,8,23358,2,0
Unreal Script,717,447,162,108,24,17793,5,0
LD Script,479,364,64,51,0,10248,16,0
Autoconf,390,344,17,29,6,18051,7,0
DOT,319,282,7,30,0,17043,9,0
Gherkin Specification,239,162,49,28,0,7896,1,0
CSV,178,177,0,1,0,10372,5,0
C++ Header,125,59,55,11,2,3859,2,0
Module-Definition,116,102,0,14,4,4555,2,0
Extensible Stylesheet Language Transformations,100,87,0,13,0,3492,5,0
CSS,89,44,27,18,0,2258,1,0
HEX,86,86,0,0,0,4119,1,0
Snakemake,78,49,16,13,0,2827,2,0
Vim Script,42,27,12,3,5,1355,1,0
Ruby,29,25,0,4,1,816,1,0
sed,12,5,5,2,0,379,1,0
INI,7,3,3,1,0,288,1,0
