Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
JSON,8919011,8919011,0,0,0,2137976879,1,0
C,6264209,4457398,942915,863896,702552,170153205,9730,0
C Header,1520334,1024958,303916,191460,20158,53643748,9160,0
Assembly,295750,225379,40052,30319,2817,7583412,952,0
Plain Text,160936,122643,0,38293,0,6070785,617,0
Makefile,23809,14208,5281,4320,144,726053,974,0
Go Template,21112,18803,0,2309,0,712253,23,0
Device Tree,9692,7776,918,998,0,223733,35,0
Perl,6565,5294,712,559,677,179064,17,0
Shell,3995,2475,1145,375,273,108521,46,0
Happy,3302,2902,0,400,0,70547,4,0
C++,1760,1569,42,149,270,43088,1,0
LEX,1534,1172,201,161,0,33691,4,0
LaTeX,1022,911,3,108,0,51370,1,0
Unreal Script,927,517,240,170,8,20822,4,0
Python,475,335,72,68,87,11852,4,0
HTML,425,367,0,58,0,15879,2,0
License,402,332,0,70,0,20823,3,0
Bazel,353,201,72,80,5,10739,1,0
Scala,281,218,0,63,20,12158,1,0
Objective C++,244,189,0,55,8,10879,1,0
LD Script,232,163,49,20,0,6299,7,0
ASP,169,136,0,33,9,4526,1,0
C++ Header,125,59,55,11,2,3859,2,0
AWK,119,96,9,14,13,3378,2,0
BASH,58,32,19,7,8,1319,2,0
Autoconf,54,35,9,10,2,1235,3,0
Snakemake,32,20,6,6,0,1258,1,0
Extensible Stylesheet Language Transformations,8,8,0,0,0,361,1,0
