Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1015026,811037,86696,117293,139584,38132584,2267,0
C Header,177267,113516,48667,15084,2254,7642995,841,0
Assembly,93541,78286,7918,7337,964,2920105,226,0
Makefile,11569,9239,156,2174,3,612824,119,0
Shell,8587,7574,333,680,892,277469,22,0
Plain Text,2643,2116,0,527,0,106153,15,0
Objective C,2099,1562,152,385,284,75759,3,0
Perl,1592,1059,282,251,164,48238,7,0
C++,1410,1122,89,199,245,47452,3,0
Windows Resource-Definition Script,495,270,198,27,0,18367,9,0
XML Schema,357,316,0,41,0,19281,1,0
Markdown,193,153,0,40,0,7408,4,0
CSS,193,140,26,27,0,118301,3,0
Coq,75,75,0,0,1,1215,9,0
Python,59,49,2,8,13,1743,2,0
HTML,53,44,5,4,0,1631,1,0
YAML,26,26,0,0,0,474,1,0
