Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1350588,1076407,110315,163866,186412,50429265,3010,0
C Header,215422,138372,58944,18106,2552,9543943,1089,0
Assembly,130702,109658,10051,10993,1457,4335046,303,0
Makefile,15572,12306,416,2850,4,868508,151,0
Shell,9727,8610,409,708,975,327326,23,0
Objective C,2733,2092,214,427,396,104754,5,0
Plain Text,2712,2191,0,521,0,109274,16,0
C++,2692,2206,143,343,647,96547,3,0
Cuda,2125,1593,224,308,73,63266,7,0
Perl,1655,1118,284,253,180,50424,7,0
Markdown,1395,1152,0,243,0,44650,7,0
Python,793,575,99,119,130,32831,6,0
Windows Resource-Definition Script,442,242,176,24,0,16353,9,0
XML Schema,389,344,0,45,0,20881,1,0
CSS,193,140,26,27,0,118301,3,0
AWK,67,56,5,6,28,1912,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,56,56,0,0,0,729,8,0
HTML,53,44,5,4,0,1631,1,0
YAML,30,30,0,0,0,531,1,0
