Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1186065,949047,96825,140193,164408,44342963,2611,0
C Header,191954,123278,51609,17067,2442,8185813,931,0
Assembly,119144,100596,9299,9249,1219,3851757,270,0
Makefile,13965,11106,221,2638,3,753064,139,0
Shell,9132,8067,409,656,894,303357,23,0
Plain Text,2708,2187,0,521,0,109167,16,0
C++,2446,2003,137,306,554,86347,3,0
Objective C,1779,1352,117,310,263,65959,2,0
Perl,1592,1059,282,251,164,48223,7,0
Cuda,588,448,79,61,35,23782,3,0
Windows Resource-Definition Script,495,270,198,27,0,18367,9,0
XML Schema,393,348,0,45,0,21163,1,0
CSS,193,140,26,27,0,118301,3,0
Markdown,178,140,0,38,0,6629,4,0
AWK,64,53,5,6,23,1792,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,59,59,0,0,0,738,9,0
Python,59,49,2,8,13,1743,2,0
HTML,53,44,5,4,0,1631,1,0
YAML,30,30,0,0,0,531,1,0
