Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1435162,1142600,115968,176594,201793,53668530,3164,0
C Header,233577,150732,63221,19624,2717,10412218,1137,0
Assembly,160483,136044,11319,13120,1609,5402984,342,0
Makefile,16432,12990,476,2966,4,927400,160,0
Shell,10134,8724,514,896,1105,343670,23,0
C++,3602,2944,196,462,799,125602,4,0
Plain Text,2796,2237,0,559,0,111057,17,0
Objective C,2790,2149,214,427,422,107652,5,0
Cuda,2523,1930,245,348,94,78395,8,0
Perl,1870,1289,299,282,208,57759,8,0
Markdown,1225,1041,0,184,0,38559,5,0
XML Schema,527,459,0,68,0,25894,1,0
Windows Resource-Definition Script,442,242,176,24,0,16353,9,0
CSS,193,140,26,27,0,118265,3,0
Python,185,126,22,37,10,5992,3,0
AWK,67,56,5,6,28,1912,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,56,56,0,0,0,729,8,0
HTML,53,44,5,4,0,1631,1,0
