Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1461652,1164099,117415,180138,205772,54698953,3209,0
C Header,236490,152149,64241,20100,2780,10513074,1135,0
Assembly,168522,142790,11945,13787,1822,5657194,369,0
Makefile,16707,13210,486,3011,4,942735,165,0
Shell,10155,8738,522,895,1112,345388,23,0
C++,3618,2963,197,458,819,126873,4,0
Objective C,2796,2152,215,429,422,108023,5,0
Plain Text,2790,2231,0,559,0,110918,17,0
Cuda,2523,1930,245,348,94,78395,8,0
Perl,1870,1289,299,282,208,57759,8,0
Markdown,1225,1041,0,184,0,38559,5,0
XML Schema,528,460,0,68,0,25970,1,0
Windows Resource-Definition Script,442,242,176,24,0,16353,9,0
CSS,193,140,26,27,0,118265,3,0
Python,185,126,22,37,10,5992,3,0
GLSL,122,87,19,16,2,4669,1,0
AWK,67,56,5,6,28,1912,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,56,56,0,0,0,729,8,0
HTML,53,44,5,4,0,1631,1,0
