Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1044376,834152,89132,121092,143477,39187514,2327,0
C Header,182478,116273,50422,15783,2319,7841955,870,0
Assembly,105739,89543,8257,7939,1116,3391330,241,0
Makefile,12208,9719,179,2310,3,650970,121,0
Shell,8728,7690,342,696,911,282103,23,0
Plain Text,2634,2113,0,521,0,106183,15,0
Objective C,2099,1562,152,385,284,75759,3,0
Perl,1592,1059,282,251,164,48223,7,0
C++,1412,1124,89,199,246,47578,3,0
Windows Resource-Definition Script,495,270,198,27,0,18367,9,0
XML Schema,359,318,0,41,0,19428,1,0
CSS,193,140,26,27,0,118301,3,0
Markdown,190,151,0,39,0,7319,4,0
Coq,75,75,0,0,1,1215,9,0
Ruby,61,51,1,9,4,1462,1,0
Python,59,49,2,8,13,1743,2,0
HTML,53,44,5,4,0,1631,1,0
YAML,26,26,0,0,0,474,1,0
