Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1261523,1007792,102781,150950,176090,47254380,2761,0
C Header,189476,118971,53697,16808,2400,8120377,970,0
Assembly,121844,102573,9656,9615,1221,3929909,283,0
Makefile,14724,11707,248,2769,4,801012,143,0
Shell,9366,8277,416,673,917,313650,23,0
C++,2895,2368,164,363,634,102927,4,0
Plain Text,2707,2187,0,520,0,109133,16,0
Objective C,2224,1692,170,362,357,86118,3,0
Perl,1601,1067,282,252,164,48445,7,0
Cuda,778,559,110,109,38,29648,5,0
Python,747,555,79,113,129,30882,5,0
Windows Resource-Definition Script,495,270,198,27,0,18367,9,0
XML Schema,394,349,0,45,0,21233,1,0
Markdown,275,207,0,68,0,10109,5,0
CSS,193,140,26,27,0,118301,3,0
AWK,64,53,5,6,23,1792,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,59,59,0,0,0,738,9,0
HTML,53,44,5,4,0,1631,1,0
YAML,30,30,0,0,0,531,1,0
