Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1431583,1139879,115658,176046,200975,53553345,3144,0
C Header,232271,150314,62521,19436,2600,10376450,1129,0
Assembly,155861,132079,11025,12757,1552,5250805,335,0
Makefile,16372,12939,472,2961,4,922393,159,0
Shell,10022,8631,504,887,1089,339817,23,0
C++,3004,2445,169,390,720,107487,3,0
Plain Text,2797,2238,0,559,0,111160,17,0
Objective C,2787,2146,214,427,422,107571,5,0
Cuda,2523,1930,245,348,94,78395,8,0
Perl,1870,1289,299,282,208,57760,8,0
Markdown,1225,1041,0,184,0,38559,5,0
XML Schema,527,459,0,68,0,25894,1,0
Windows Resource-Definition Script,442,242,176,24,0,16353,9,0
CSS,193,140,26,27,0,118265,3,0
Python,185,126,22,37,10,5992,3,0
AWK,67,56,5,6,28,1912,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,56,56,0,0,0,729,8,0
HTML,53,44,5,4,0,1631,1,0
YAML,30,30,0,0,0,531,1,0
