Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1204769,963215,98886,142668,166762,45006112,2652,0
C Header,194583,125195,52117,17271,2462,8307479,945,0
Assembly,120258,101354,9502,9402,1220,3885113,277,0
Makefile,14134,11249,221,2664,3,763038,142,0
Shell,9203,8135,409,659,899,306129,23,0
Plain Text,2708,2187,0,521,0,109167,16,0
C++,2446,2003,137,306,554,86347,3,0
Objective C,1847,1413,122,312,286,69015,2,0
Perl,1592,1059,282,251,164,48223,7,0
Cuda,588,448,79,61,35,23784,3,0
Python,537,377,71,89,79,20929,5,0
Windows Resource-Definition Script,495,270,198,27,0,18367,9,0
XML Schema,393,348,0,45,0,21163,1,0
Markdown,197,156,0,41,0,7197,4,0
CSS,193,140,26,27,0,118301,3,0
AWK,64,53,5,6,23,1792,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,59,59,0,0,0,738,9,0
HTML,53,44,5,4,0,1631,1,0
YAML,30,30,0,0,0,531,1,0
