Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,1187830,950419,96948,140463,164778,44399781,2615,0
C Header,193200,124453,51658,17089,2442,8258592,933,0
Assembly,119329,100706,9354,9269,1219,3858004,271,0
Makefile,13979,11118,221,2640,3,753794,139,0
Shell,9148,8083,409,656,894,303895,23,0
Plain Text,2708,2187,0,521,0,109167,16,0
C++,2446,2003,137,306,554,86347,3,0
Objective C,1779,1352,117,310,263,65959,2,0
Perl,1592,1059,282,251,164,48223,7,0
Cuda,588,448,79,61,35,23782,3,0
Windows Resource-Definition Script,495,270,198,27,0,18367,9,0
XML Schema,393,348,0,45,0,21163,1,0
Python,312,206,49,57,45,10824,4,0
CSS,193,140,26,27,0,118301,3,0
Markdown,178,140,0,38,0,6629,4,0
AWK,64,53,5,6,23,1792,1,0
Ruby,61,51,1,9,4,1462,1,0
Coq,59,59,0,0,0,738,9,0
HTML,53,44,5,4,0,1631,1,0
YAML,30,30,0,0,0,531,1,0
