Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Python,144160,111233,19658,13269,10934,5634652,1357,0
Plain Text,55921,40154,0,15767,0,2112303,167,0
JavaScript,8442,6278,983,1181,1776,324366,24,0
CSS,2392,1833,87,472,0,50185,12,0
HTML,2280,1909,16,355,0,85824,124,0
JSON,1707,1693,0,14,0,417885,34,0
XML,523,519,0,4,0,26849,24,0
License,82,66,0,16,0,4614,3,0
Makefile,70,54,4,12,2,2272,1,0
Shell,28,16,8,4,3,804,1,0
Autoconf,27,27,0,0,0,1080,1,0
SQL,8,7,0,1,0,496,1,0
CSV,4,4,0,0,0,57,1,0
