Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
HTML,1255281,1100682,24412,130187,0,45634151,27395,0
Plain Text,1211154,1153400,0,57754,0,74582251,34143,0
JavaScript,824612,506970,194472,123170,76420,28988431,6636,0
C++,690339,487609,101989,100741,104667,25786546,2575,0
C Header,329200,176151,96341,56708,8208,12540603,3165,0
SVG,150392,129634,12997,7761,2428,17722206,1783,0
Python,102935,68569,21362,13004,7694,4302911,554,0
XML,38860,23572,6597,8691,0,1921019,1004,0
Perl,29606,22792,3530,3284,2478,984843,138,0
IDL,27983,8351,17264,2368,0,1355495,691,0
CSS,21108,16203,1834,3071,3,555031,593,0
Document Type Definition,18879,15453,0,3426,0,516555,27,0
Objective C++,10607,7231,1779,1597,1184,406837,36,0
JSON,8973,8969,0,4,0,499608,27,0
Autoconf,7361,6983,36,342,94,163279,24,0
PHP,5594,4880,153,561,881,161318,315,0
Ruby,4649,3871,214,564,331,148055,11,0
Extensible Stylesheet Language Transformations,1769,1652,0,117,0,49019,54,0
Go Template,1152,997,0,155,0,43394,10,0
C,984,705,140,139,77,35017,2,0
XML Schema,908,743,0,165,0,27862,8,0
Happy,554,509,0,45,0,12854,1,0
GLSL,544,434,83,27,17,11578,88,0
License,453,354,0,99,0,34750,6,0
F#,338,217,47,74,11,8755,26,0
Shell,186,71,100,15,10,8806,3,0
Java,177,118,25,34,10,4882,5,0
YAML,104,78,8,18,0,1897,3,0
Windows Resource-Definition Script,102,60,23,19,0,2457,1,0
Swig,98,84,0,14,0,3312,1,0
Markdown,27,21,0,6,0,1482,1,0
Sass,21,16,2,3,0,249,3,0
Module-Definition,12,10,0,2,0,278,2,0
Batch,7,7,0,0,4,387,2,0
MSBuild,7,7,0,0,0,495,1,0
Systemd,1,1,0,0,0,61,1,0
