Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,5710518,4352311,528511,829696,395584,207618779,21217,0
C Header,2144234,1256467,511539,376228,23897,81337543,18674,0
C,1210685,856766,253846,100073,165783,38122781,1199,0
JavaScript,1110406,818690,205184,86532,99495,44186218,4346,0
Python,602150,449038,83934,69178,53982,21969927,3068,0
HTML,474685,426007,11336,37342,0,30617591,5316,0
Java,407761,270477,83204,54080,31895,15879319,2050,0
JSON,361976,359851,0,2125,0,25886367,3076,0
Objective C++,281237,203566,33705,43966,17855,10072907,1389,0
Shell,180318,150472,17196,12650,12103,5297540,232,0
Assembly,160554,150072,1050,9432,69,2954478,117,0
Plain Text,110782,104082,0,6700,0,5773647,1199,0
XML,106227,92749,2698,10780,0,4230728,424,0
GN,90109,72602,8914,8593,4971,2612554,953,0
CSS,53285,41507,3802,7976,0,1126617,518,0
IDL,44183,13680,25412,5091,3,1605068,297,0
m4,43933,30213,9473,4247,0,1523700,46,0
Autoconf,35163,28640,3425,3098,3080,1603126,81,0
Perl,30566,21679,5545,3342,2754,839983,22,0
TCL,29970,22899,4662,2409,2328,1300732,90,0
C++ Header,29356,23728,2718,2910,1464,888731,66,0
ReStructuredText,25485,19008,0,6477,0,994582,72,0
Makefile,25400,18674,4099,2627,2229,1417455,39,0
License,20241,16966,0,3275,0,1103120,170,0
Protocol Buffers,20099,8986,7861,3252,0,945559,178,0
Patch,19790,18696,0,1094,0,695016,89,0
Cython,11897,6716,3340,1841,461,456092,134,0
Markdown,10678,8044,0,2634,0,379859,49,0
Go Template,4897,4330,0,567,0,160915,70,0
BASH,4092,2564,1034,494,343,125535,53,0
Go,3586,2403,752,431,422,116059,25,0
Dart,3393,2663,238,492,423,112904,24,0
C#,3323,2208,764,351,194,121927,25,0
Sass,3126,2066,639,421,0,65311,14,0
Happy,2946,2682,0,264,0,105419,2,0
Objective C,2697,1825,350,522,237,78823,27,0
PHP,2619,1597,692,330,256,97817,5,0
MSBuild,2332,1858,473,1,17,150786,13,0
Windows Resource-Definition Script,2130,1093,744,293,0,66332,21,0
SQL,2026,1832,142,52,0,178732,55,0
Batch,1704,894,582,228,59,57728,23,0
Jinja,1564,1449,0,115,57,65011,23,0
SVG,1071,1033,21,17,0,91598,31,0
AWK,763,582,155,26,148,21027,11,0
YAML,757,708,25,24,0,31963,13,0
Emacs Lisp,744,500,142,102,24,28740,5,0
Module-Definition,633,540,43,50,0,16346,19,0
Extensible Stylesheet Language Transformations,342,332,0,10,0,12410,3,0
Vim Script,331,181,96,54,10,12268,7,0
AppleScript,212,116,59,37,7,6973,12,0
CMake,208,151,29,28,3,5705,6,0
Android Interface Definition Language,170,66,68,36,0,6113,10,0
Varnish Configuration,122,119,0,3,0,4153,1,0
DOT,87,76,0,11,0,1898,4,0
CSV,68,68,0,0,0,9172,10,0
Templ,65,53,3,9,0,2024,1,0
INI,58,37,10,11,0,2208,2,0
sed,48,17,20,11,0,1677,2,0
Ruby,32,14,8,10,5,937,1,0
Swig,31,9,20,2,0,1070,1,0
Properties File,22,3,17,2,0,857,3,0
Handlebars,20,16,0,4,0,1059,1,0
DM,1,1,0,0,1,60,1,0
