Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,11509685,8703882,1104945,1700858,758158,430549069,41244,0
C Header,4303074,2566256,982571,754247,49280,167188807,36687,0
HTML,3579143,3183692,68526,326925,0,166655953,72283,0
JavaScript,3008434,2055363,633620,319451,230955,118518449,17966,0
JSON,1718021,1714429,0,3592,0,108071191,4193,0
C,1630132,1157915,325425,146792,192144,52903702,1856,0
Plain Text,1209842,1138243,0,71599,0,90543007,27840,0
Java,1143308,775954,216547,150807,78321,46328845,5770,0
Python,1055996,789387,147800,118809,79850,37425913,5386,0
Objective C++,606898,447077,66859,92962,33021,22828880,3182,0
XML,417490,366283,13196,38011,0,38188993,2523,0
GN,357922,299913,27283,30726,12969,11832234,3201,0
Assembly,277614,254923,1302,21389,349,5393504,205,0
SVG,173488,152387,12527,8574,2246,19979039,3044,0
Markdown,136662,104479,0,32183,0,6126335,1287,0
IDL,109798,47274,49476,13048,3,4314314,2116,0
CSS,109506,86633,7255,15618,0,3470481,1613,0
License,94445,77741,0,16704,0,5241855,437,0
Protocol Buffers,89461,50014,27388,12059,31,3744472,649,0
C#,79500,58670,13894,6936,8355,3248950,200,0
Shell,78368,59359,10849,8160,6002,2325796,372,0
CSV,77206,77206,0,0,0,2478129,28,0
Objective C,71882,55843,7662,8377,4793,2617323,126,0
ReStructuredText,64276,46826,0,17450,0,2326063,324,0
Autoconf,52644,45538,3982,3124,6438,1945128,123,0
TCL,51586,39784,7386,4416,4205,1895433,166,0
PHP,41477,27172,10187,4118,2394,1384880,744,0
Perl,32995,23475,5823,3697,3043,911574,104,0
m4,29050,19686,6517,2847,0,994305,31,0
YAML,28552,24934,1264,2354,0,932608,493,0
Document Type Definition,23198,19762,0,3436,0,640632,30,0
Go Template,18130,15730,0,2400,0,653306,191,0
Patch,13138,12276,0,862,0,499412,98,0
C++ Header,8106,5272,1638,1196,113,264878,88,0
CMake,7238,6125,581,532,100,178096,52,0
Makefile,6875,4959,846,1070,80,225094,52,0
Bazel,6197,5442,290,465,71,154198,26,0
Ruby,5904,4918,239,747,547,188824,24,0
SQL,5348,5050,199,99,0,383392,106,0
Happy,4599,4152,0,447,0,151528,7,0
Batch,4184,2605,957,622,452,125371,46,0
BASH,3394,2315,581,498,276,104851,43,0
Sass,3160,2096,640,424,0,65591,25,0
MSBuild,2688,2169,489,30,24,164137,25,0
Extensible Stylesheet Language Transformations,2290,2150,0,140,0,67209,71,0
Windows Resource-Definition Script,2260,1276,718,266,0,70569,28,0
Jinja,1602,1439,39,124,103,60997,36,0
TypeScript,1317,935,147,235,113,46277,26,0
Dockerfile,1282,986,149,147,378,34180,17,0
INI,971,757,75,139,0,25696,53,0
Go,936,759,100,77,176,24827,8,0
XML Schema,908,743,0,165,0,27862,8,0
JSX,849,677,60,112,49,24039,5,0
Groovy,783,600,101,82,81,34918,3,0
DOT,778,588,60,130,0,27074,12,0
Android Interface Definition Language,774,259,367,148,0,27496,44,0
Emacs Lisp,738,435,176,127,15,27729,5,0
Elm,542,399,32,111,21,13190,2,0
Swift,460,351,58,51,0,20112,1,0
Module-Definition,452,293,80,79,0,11175,21,0
Vim Script,339,184,104,51,14,12299,6,0
FIDL,248,145,51,52,0,6908,6,0
AppleScript,212,116,59,37,7,6973,12,0
Gradle,208,149,25,34,0,8706,3,0
Rakefile,180,137,11,32,8,5492,2,0
TypeScript Typings,174,110,46,18,10,4500,2,0
Haxe,167,137,5,25,10,3707,2,0
Mako,135,93,13,29,11,2482,6,0
Templ,134,111,8,15,0,4093,2,0
Dart,132,105,7,20,15,3426,3,0
Vue,128,122,0,6,4,4005,2,0
Handlebars,120,116,0,4,0,5243,13,0
Swig,98,84,0,14,0,3312,1,0
Powershell,81,63,11,7,13,4380,7,0
TOML,70,59,0,11,0,1580,2,0
sed,48,17,20,11,0,1677,2,0
XAML,42,36,0,6,0,1412,4,0
nuspec,39,39,0,0,0,2431,1,0
Properties File,34,14,18,2,0,1317,6,0
AWK,25,17,3,5,0,342,1,0
CoffeeScript,13,10,0,3,0,382,1,0
LD Script,7,6,0,1,0,366,1,0
Gemfile,3,2,0,1,0,39,1,0
DM,1,1,0,0,1,60,1,0
Systemd,1,1,0,0,0,61,1,0
