Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,7022557,5312082,681242,1029233,530219,257809241,26511,0
C Header,2705929,1562463,660682,482784,35377,102614512,24274,0
HTML,2265881,2002979,45285,217617,0,97900774,44357,0
JavaScript,2033470,1413034,425768,194668,186606,76666880,10463,0
Plain Text,2030237,1957240,0,72997,0,121721557,49313,0
C,1222802,869033,253602,100167,165897,39138382,1218,0
Python,800136,590857,117374,91905,66510,29262393,4309,0
Java,479357,318947,97505,62905,37790,18770385,2408,0
JSON,393562,391213,0,2349,0,14105786,3016,0
Objective C++,303301,219162,36918,47221,19642,10931206,1479,0
Assembly,185124,173428,1344,10352,81,3421743,137,0
XML,160014,129606,9585,20823,0,26741296,1485,0
SVG,150934,130975,12422,7537,2262,17765899,2088,0
Shell,147360,122854,14264,10242,9857,4295351,238,0
GN,125026,100620,12406,12000,6265,3768097,1217,0
CSS,81733,63297,6226,12210,0,1907248,1333,0
IDL,79314,26543,44470,8301,3,3248219,1323,0
Autoconf,39176,32627,3459,3090,2766,1676828,108,0
m4,36435,25109,7838,3488,0,1254257,45,0
Markdown,35123,25754,0,9369,0,1358935,297,0
Perl,32955,23450,5790,3715,2933,909016,111,0
C++ Header,30640,24648,2957,3035,1499,925991,70,0
TCL,29970,22899,4662,2409,2328,1300732,90,0
ReStructuredText,28007,20605,0,7402,0,1072093,96,0
Makefile,25354,18644,4091,2619,2232,1418107,39,0
Protocol Buffers,22590,10298,8553,3739,0,1024217,219,0
License,22363,18713,0,3650,0,1236653,197,0
Patch,19930,18833,0,1097,0,708385,86,0
Document Type Definition,18878,15452,0,3426,0,516512,27,0
PHP,11546,9477,910,1159,1576,351820,469,0
Cython,10733,5815,3299,1619,367,416247,127,0
Go Template,5372,4716,0,656,0,184672,78,0
BASH,4181,2629,1057,495,352,127879,55,0
Happy,3432,3123,0,309,0,115657,3,0
C#,3323,2208,764,351,194,121927,25,0
Sass,3149,2084,640,425,0,65493,20,0
Objective C,2700,1827,350,523,238,78870,27,0
SQL,2562,2362,145,55,0,195282,61,0
MSBuild,2350,1875,473,2,17,151562,14,0
Windows Resource-Definition Script,2172,1162,727,283,0,68167,21,0
Extensible Stylesheet Language Transformations,2166,2037,0,129,0,63057,63,0
Batch,1647,862,572,213,61,54832,24,0
Ruby,1337,1067,45,225,93,42650,5,0
Jinja,1001,920,0,81,41,39512,24,0
XML Schema,908,743,0,165,0,27862,8,0
YAML,813,728,51,34,0,33379,15,0
AWK,763,582,155,26,148,21027,11,0
Emacs Lisp,744,500,142,102,24,28768,5,0
Module-Definition,615,528,39,48,0,15834,17,0
GLSL,544,434,83,27,17,11578,88,0
Go,394,311,53,30,97,10625,3,0
Vim Script,332,182,96,54,10,12288,7,0
CMake,270,207,29,34,3,6744,8,0
DOT,214,143,30,41,0,7608,6,0
AppleScript,212,116,59,37,7,6973,12,0
Android Interface Definition Language,159,57,64,38,0,5316,10,0
Swig,129,93,20,16,0,4382,2,0
Varnish Configuration,122,119,0,3,0,4153,1,0
INI,94,65,10,19,0,2867,4,0
CSV,68,68,0,0,0,9172,10,0
Templ,65,53,3,9,0,2024,1,0
sed,48,17,20,11,0,1677,2,0
R,47,37,5,5,1,1842,1,0
Dockerfile,26,16,4,6,1,853,1,0
Properties File,22,3,17,2,0,857,3,0
Handlebars,20,16,0,4,0,1059,1,0
CoffeeScript,7,6,0,1,0,163,1,0
DM,1,1,0,0,1,60,1,0
Systemd,1,1,0,0,0,61,1,0
