Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,7962387,6011931,778999,1171457,570921,290071637,29652,0
C Header,3155344,1845914,757781,551649,38279,121554021,27553,0
HTML,2552218,2260072,51568,240578,0,107403192,50561,0
JavaScript,2086690,1393346,472656,220688,171085,82900839,11534,0
Plain Text,1971994,1899365,0,72629,0,123675159,44476,0
C,1371722,971911,282660,117151,180178,44355280,1453,0
JSON,735940,733392,0,2548,0,25278306,3231,0
Java,691566,460438,142140,88988,51819,27330537,3205,0
Python,681425,503690,101466,76269,53458,24970996,3538,0
Objective C++,530172,389268,60427,80477,31362,19506687,2528,0
Assembly,216515,203087,1539,11889,107,4095256,144,0
GN,215485,181891,16556,17038,8549,7148869,1915,0
XML,203229,168414,10213,24602,0,28443337,1651,0
Shell,159173,129879,16791,12503,11160,4685536,262,0
SVG,154808,134677,12596,7535,2225,18695012,2173,0
CSS,86746,67392,6084,13270,0,1970436,1367,0
IDL,82365,28262,45235,8868,3,3362482,1488,0
Objective C,67927,53228,6702,7997,4365,2483133,103,0
m4,55351,38363,11660,5328,0,1958911,39,0
Markdown,54604,41082,0,13522,0,2222332,392,0
C#,52032,37459,9804,4769,5647,2052671,144,0
Autoconf,40168,33691,3339,3138,3755,1822307,90,0
Protocol Buffers,36544,16544,14435,5565,0,1553064,340,0
License,36360,30391,0,5969,0,1939385,225,0
TCL,35284,26966,5412,2906,2924,1442838,118,0
Perl,32872,23527,5683,3662,2920,906213,110,0
Makefile,28200,21129,4201,2870,2692,1514091,41,0
C++ Header,25634,17837,4439,3358,1667,813913,76,0
ReStructuredText,24743,18581,0,6162,0,964758,71,0
Document Type Definition,21073,17637,0,3436,0,579662,29,0
Patch,17634,16692,0,942,0,632337,82,0
PHP,16420,13884,1111,1425,1758,518513,665,0
Go Template,11111,9636,0,1475,0,405883,121,0
Happy,3960,3575,0,385,0,130380,5,0
BASH,3781,2501,757,523,289,116989,53,0
Ruby,3729,2930,283,516,351,118637,15,0
SQL,3514,3314,145,55,0,264925,73,0
Sass,3231,2156,642,433,0,66492,32,0
MSBuild,2869,2359,508,2,42,176196,20,0
Batch,2624,1406,832,386,86,80511,28,0
CSV,2298,2298,0,0,0,55447,11,0
Extensible Stylesheet Language Transformations,2173,2044,0,129,0,63304,64,0
Windows Resource-Definition Script,1815,943,653,219,0,58975,16,0
Jinja,1220,1108,12,100,73,47382,28,0
CMake,1046,896,59,91,34,42494,17,0
XML Schema,908,743,0,165,0,27862,8,0
YAML,884,794,53,37,0,35451,15,0
Go,812,651,94,67,152,21427,7,0
Emacs Lisp,715,418,172,125,15,26684,5,0
DOT,503,378,46,79,0,18210,8,0
Vim Script,478,255,151,72,18,17485,10,0
Swift,460,351,58,51,0,20550,1,0
Module-Definition,404,321,38,45,0,9846,14,0
Bazel,345,304,4,37,39,9685,3,0
Android Interface Definition Language,274,77,143,54,0,9502,18,0
AppleScript,212,116,59,37,7,6973,12,0
Dockerfile,174,105,41,28,17,5716,3,0
Rakefile,103,81,5,17,8,2654,1,0
Swig,98,84,0,14,0,3312,1,0
nuspec,91,89,2,0,0,5178,2,0
Templ,70,58,3,9,0,2311,1,0
INI,56,37,11,8,0,1643,2,0
sed,48,17,20,11,0,1677,2,0
R,47,37,5,5,1,1842,1,0
TypeScript,23,21,0,2,1,352,2,0
Properties File,22,3,17,2,0,857,3,0
Handlebars,20,16,0,4,0,1059,1,0
CoffeeScript,7,6,0,1,0,163,1,0
Gemfile,3,2,0,1,0,39,1,0
DM,1,1,0,0,1,60,1,0
Systemd,1,1,0,0,0,61,1,0
