Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Java,266805,148748,79610,38447,17739,9406839,1917,0
JavaScript,173243,132708,32018,8517,11499,5374662,789,0
HTML,21487,20330,936,221,0,895890,109,0
XML,18120,13381,2959,1780,0,698332,347,0
CSS,16617,15950,312,355,0,669887,36,0
Plain Text,9011,7921,0,1090,0,446436,291,0
Freemarker Template,7287,4519,2550,218,1058,254513,151,0
JavaServer Pages,5098,4463,105,530,20,151819,159,0
Properties File,2851,1886,802,163,0,218093,97,0
Document Type Definition,1646,1313,0,333,0,36875,18,0
SVG,576,576,0,0,0,217476,2,0
Extensible Stylesheet Language Transformations,231,217,0,14,0,8132,7,0
Markdown,35,20,0,15,0,5066,1,0
AsciiDoc,11,8,0,3,0,443,1,0
JSON,2,2,0,0,0,9266,2,0
